CaseID,ResponseId,StartDate,EndDate,BBC1_1,BBC1_2,BBC1_3,BBC1_4,BBC1_5,BBC1_6,BBC1_7,BBC1_8,BBC1_9,BBC1_10,BBC1_11,BBC1_12,BBC1_13,BBC1_14,BBC1_15,BBC1_16,BBC1_17,BBC1_18,BBC1_19,BBC1_20,prg_qstate_punch,BBC2_1,BBC2_2,BBC2_3,BBC2_4,BBC2_5,BBC2_6,BBC2_7,BBC2_8,BBC2_9,BBC2_10,BBC2_11,BBC3_1,BBC3_2,BBC3_3,BBC3_4,BBC3_5,BBC3_6,BBC3_7,BBC3_8,BBC3_9,BBC3_10,bbc4_order,BBC4_1,BBC4_2,BBC4_3,BBC4_4,BBC4_5,BBC4_6,BBC4_7,BBC4_8,BBC5_1,BBC5_2,BBC5_3,BBC5_4,BBC5_5,BBC6,BBC7,BBC8_1,BBC8_2,BBC8_3,BBC8_4,BBC8_5,BBC8_6,BBC8_7,BBC9,BBC10,BBC11,BBC12,PPWORKA,ppage,ppeducat,ppeduc5,ppethm,ppgender,pphhsize,pphouse4,ppinc7,ppmarit5,ppmsacat,ppreg4,pprent,ppemploy,ppstaten,ppt18ov,ppkid017,PPREG9,partyid4,urb_sub_rur,xppracem,ind1,pprent_new,MSC,core_par,Weights,BBC1_19_TEXT,BBC7_12_TEXT
1,R_t0qlX7rwk5EZWmZ,12/4/2021 13:53:28,12/4/2021 14:08:57,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Government budget and debt,Immigration,Not Selected,Not Selected,Not Selected,Not Selected,Opioid or drug addiction,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Arkansas,None at all,None at all,None at all,None at all,Not very much,A fair amount,Not very much,None at all,Not very much,None at all,Not very much,Don’t know,False,Don’t know,True,False,True,False,False,True,True,1,Don’t know,Strongly agree,Strongly disagree,Strongly agree, ,Somewhat disagree,Somewhat disagree,Strongly agree,Don’t know,Don’t know,Somewhat concerned,Don’t know,Very concerned,They are left-wing terrorists or Antifa,CNN,Not Selected, Contact your elected officials,Not Selected,Not Selected, Donate money to a political campaign,Not Selected,Not Selected,"No, and I do not plan to get the vaccine",Donald Trump,No religion, ,Retired,62,Less than HS,No high school diploma or GED,"2+ races, Non-Hispanic",Female,2,One-family house detached from any other house,"$150,000 or more",Now married,Metro area,South,Owned or being bought by you or someone in,Not working,AR,2,0,West-South Central,Independent,Rural,2+ races,Not asked,Owned by you or someone in your household free and clear (without a mortgage or loan),Outside the center city of an MSA but inside the county containing the center city,No,1.7563417,Skipped,Skipped
2,R_1hzYMkdJ75MK2Zo,12/3/2021 20:18:55,12/3/2021 21:09:47,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,None of these,Arizona,A great deal,None at all,A fair amount,Not very much,Not very much,A fair amount,None at all,None at all,A great deal,Not very much,A fair amount,False,False,True,Don’t know,False,True,False,True,Don’t know,True,1,Strongly disagree,Strongly agree,Strongly disagree,Don’t know, ,Strongly disagree,Don’t know,Don’t know,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Don’t know,ABC / CBS / NBC News,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,"No, none of the above",Fully vaccinated plus a booster,Donald Trump, Jewish, ,Employed full-time (by someone else),52,Some college,Some college or Associate degree,"White, Non-Hispanic",Male,2,One-family house detached from any other house,"$150,000 or more",Now married,Metro area,West,Owned or being bought by you or someone in,Working full-time,AZ,2,0,Mountain,Republican,Suburban,White,Construction and Specialty Contractors (such as Plumbing and Electrical),Owned by you or someone in your household with a mortgage or loan,In the center city of an MSA,No,.9649542,Skipped,Skipped
3,R_3FXU2kya1ANpyTz,12/3/2021 18:38:09,12/3/2021 19:28:00,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Other [SPECIFY],Not Selected,Texas,A great deal,None at all,A great deal,A fair amount,A great deal,A great deal,A great deal,None at all,A great deal,None at all,Don’t know/Never heard,False,False,Don’t know,Don’t know,False,True,False,False,True,False,1,Skipped,Somewhat agree,Skipped,Skipped, ,Don’t know,Somewhat disagree,Strongly agree,Don’t know,Not very concerned,Somewhat concerned,Don’t know,Very concerned,Skipped,Skipped,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,"No, none of the above",Skipped,Skipped,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",Yes,Employed full-time (by someone else),53,Bachelor or higher,Bachelor’s degree,"White, Non-Hispanic",Female,2,One-family house detached from any other house,"$100,000 to $149,999",Now married,Metro area,South,Owned or being bought by you or someone in,Working full-time,TX,2,0,West-South Central,Republican,Suburban,White,Education and Tutoring,Owned by you or someone in your household free and clear (without a mortgage or loan),Outside the center city of an MSA but inside the county containing the center city,No,1.9127392,Abortion of babies; turning away from belief in absolute truth; breakdown of the family,Skipped
4,R_XtaUDO65tCvK4AF,12/4/2021 5:23:30,12/4/2021 5:40:11,COVID-19/coronavirus,Healthcare,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Taxes,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Massachusetts,Not very much,A fair amount,A fair amount,A fair amount,A fair amount,A fair amount,A fair amount,A fair amount,Don’t know/Never heard,Don’t know/Never heard,Don’t know/Never heard,False,True,True,False,True,True,False,False,False,False,2,Strongly agree,Strongly disagree,Somewhat agree, ,Strongly disagree,Strongly agree,Somewhat disagree,Don’t know,Somewhat concerned,Somewhat concerned,Somewhat concerned,Not very concerned,Somewhat concerned,They are criminals,ABC / CBS / NBC News,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,"No, none of the above",Fully vaccinated,Joe Biden,No religion, ,Employed full-time (by someone else),53,HS,High school graduate (high school diploma or the equivalent GED),"White, Non-Hispanic",Male,3,One-family house detached from any other house,"$100,000 to $149,999",Now married,Metro area,Northeast,Owned or being bought by you or someone in,Working full-time,MA,3,0,New England,Democrat,Suburban,White,Retail/Stores/Shopping (including Online Retail),Owned by you or someone in your household free and clear (without a mortgage or loan),Outside the center city of an MSA but inside the county containing the center city,No,.9457521,Skipped,Skipped
5,R_3nqIjV9wDBIfetS,12/4/2021 7:13:25,12/4/2021 7:30:29,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Terrorism,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Foreign conflicts,The spread of false information,Not Selected,Not Selected,New Hampshire,A great deal,None at all,A great deal,None at all,A great deal,A great deal,A great deal,None at all,A fair amount,Not very much,A fair amount,True,False,False,True,False,False,True,True,True,True,2,Strongly disagree,Strongly agree,Strongly disagree, ,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,They are left-wing terrorists or Antifa,Digital or online news,Not Selected,Not Selected,Not Selected,Not Selected, Donate money to a political campaign,Not Selected,Not Selected,"No, and I do not plan to get the vaccine",Donald Trump,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",Yes,Retired,79,Some college,Some college or Associate degree,"White, Non-Hispanic",Female,2,One-family house detached from any other house,"$25,000 to $49,999",Now married,Non-metro area,Northeast,Owned or being bought by you or someone in,Not working,NH,2,0,New England,Independent,Rural,White,Not asked,Owned by you or someone in your household free and clear (without a mortgage or loan),Not in an MSA,No,.8066043,Skipped,Skipped
6,R_qXzRlHrPl4AWaQ1,12/5/2021 10:51:55,12/5/2021 11:30:23,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Crime or gun violence,Not Selected,Not Selected,Not Selected,Terrorism,Not Selected,Not Selected,Opioid or drug addiction,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Michigan,A great deal,None at all,None at all,Don’t know/Never heard,Don’t know/Never heard,A fair amount,Don’t know/Never heard,None at all,Don’t know/Never heard,Don’t know/Never heard,Don’t know/Never heard,True,False,Don’t know,Don’t know,False,Don’t know,False,Don’t know,True,True,2,Strongly disagree,Strongly agree,Strongly disagree, ,Strongly agree,Somewhat agree,Don’t know,Somewhat agree,Very concerned,Very concerned,Very concerned,Somewhat concerned,Somewhat concerned,Don’t know,ABC / CBS / NBC News,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,"No, none of the above",Fully vaccinated,Donald Trump,Catholic,No,Employed full-time (by someone else),54,HS,High school graduate (high school diploma or the equivalent GED),"White, Non-Hispanic",Female,4,One-family house detached from any other house,"$100,000 to $149,999",Now married,Metro area,Midwest,Owned or being bought by you or someone in,Working full-time,MI,4,0,East-North Central,Republican,Urban,White,"Factory, Manufacturing, and Woodworking",Owned by you or someone in your household with a mortgage or loan,In the center city of an MSA,No,1.0851675,Skipped,Skipped
7,R_cOxHBXIHFrfMCNH,12/5/2021 14:16:36,12/5/2021 14:40:34,COVID-19/coronavirus,Not Selected,Not Selected,Political extremism or polarization,Not Selected,Not Selected,Crime or gun violence,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Michigan,None at all,A fair amount,A fair amount,A great deal,A great deal,A great deal,Don’t know/Never heard,A fair amount,None at all,Don’t know/Never heard,Don’t know/Never heard,False,True,True,False,True,True,False,False,False,False,2,Strongly agree,Strongly disagree,Don’t know, ,Strongly disagree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat concerned,Very concerned,Very concerned,Very concerned,Very concerned,They are criminals,Public television or radio,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,"No, none of the above",Fully vaccinated plus a booster,Joe Biden, Jewish, ,Retired,76,Bachelor or higher,Master’s degree or above,"White, Non-Hispanic",Female,2,One-family house detached from any other house,"$100,000 to $149,999",Now married,Metro area,Midwest,Owned or being bought by you or someone in,Not working,MI,2,0,East-North Central,Something else,Suburban,White,Not asked,Owned by you or someone in your household free and clear (without a mortgage or loan),Outside the center city of an MSA but inside the county containing the center city,No,.6099615,Skipped,Skipped
8,R_2CQBZp9vYjUySSu,12/3/2021 22:02:03,12/3/2021 22:24:00,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Government budget and debt,Not Selected,Taxes,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,The spread of false information,Not Selected,Not Selected,Nebraska,Not very much,None at all,A fair amount,None at all,Not very much,A fair amount,A fair amount,None at all,A fair amount,None at all,Don’t know/Never heard,Don’t know,False,False,Don’t know,False,True,False,Don’t know,Don’t know,Don’t know,1,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree, ,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat concerned,Somewhat concerned,Very concerned,Not very concerned,Very concerned,They are left-wing terrorists or Antifa,Other [SPECIFY],Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,"No, none of the above",Fully vaccinated,Donald Trump,Other Christian religion,Yes,Retired,69,Bachelor or higher,Bachelor’s degree,"White, Non-Hispanic",Male,2,One-family house detached from any other house,"$100,000 to $149,999",Now married,Metro area,Midwest,Owned or being bought by you or someone in,Not working,NE,2,0,West-North Central,Independent,Urban,White,Not asked,Owned by you or someone in your household free and clear (without a mortgage or loan),In the center city of an MSA,No,.551868,Skipped,KFAB radio
9,R_1rcZOgssNAazN6P,12/5/2021 20:25:00,12/5/2021 20:40:32,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Government budget and debt,Immigration,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,The spread of false information,Not Selected,Not Selected,Nebraska,A great deal,A great deal,A fair amount,A fair amount,A fair amount,Not very much,Don’t know/Never heard,A fair amount,A fair amount,A fair amount,A fair amount,Don’t know,Don’t know,Don’t know,True,False,True,False,Don’t know,Don’t know,Don’t know,2,Don’t know,Somewhat agree,Strongly disagree, ,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Very concerned,They were well-meaning but got carried away in the moment,Other [SPECIFY],Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,"No, none of the above",Fully vaccinated,Donald Trump,Catholic,No,Employed full-time (by someone else),60,Bachelor or higher,Bachelor’s degree,"White, Non-Hispanic",Male,2,One-family house detached from any other house,"$100,000 to $149,999",Now married,Metro area,Midwest,Owned or being bought by you or someone in,Working full-time,NE,2,0,West-North Central,Republican,Urban,White,"Delivery Services, Warehousing, and Transportation (including Air, Rail, Water, Truck, and Passenger)",Owned by you or someone in your household with a mortgage or loan,In the center city of an MSA,No,.551868,Skipped,AM Talk radio
10,R_2Pv7EDqSZeNUrAO,12/3/2021 17:34:23,12/3/2021 17:49:56,Not Selected,Not Selected,Not Selected,Political extremism or polarization,Not Selected,Not Selected,Not Selected,Not Selected,Immigration,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,The spread of false information,Not Selected,Not Selected,South Carolina,A great deal,None at all,A great deal,None at all,A fair amount,Not very much,A great deal,None at all,A great deal,None at all,A great deal,True,True,False,True,False,False,Don’t know,True,True,True,2,Strongly agree,Strongly agree,Strongly disagree, ,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Very concerned,Very concerned,Very concerned,Not very concerned,Very concerned,Don’t know,Other [SPECIFY],Not Selected, Contact your elected officials,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Partially vaccinated,Donald Trump,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",Yes,Retired,69,Some college,Some college or Associate degree,"White, Non-Hispanic",Female,3,One-family house detached from any other house,"$25,000 to $49,999",Now married,Metro area,South,Owned or being bought by you or someone in,Not working,SC,3,0,South Atlantic,Republican,Suburban,White,Not asked,Owned by you or someone in your household with a mortgage or loan,Outside the center city of an MSA but inside the county containing the center city,No,.8384811,Skipped,OAN
