CASEID,BBC3_1,BBC3_2,BBC3_3,BBC3_4,BBC3_5,BBC3_6,BBC3_7,BBC3_8,BBC3_9,BBC3_10,PPINC7,state,vote_2020,gender,pid,accuracy_count,accuracy_score
1,0,0,0,0,0,1,1,1,0,0,7,AR,Donald Trump,Female,Independent,3,0.3
2,1,0,1,0,0,1,1,0,0,0,7,AZ,Donald Trump,Male,Republican,4,0.4
4,1,1,1,1,1,1,1,1,1,1,6,MA,Joe Biden,Male,Democrat,10,1
5,0,0,0,0,0,0,0,0,0,0,3,NH,Donald Trump,Female,Independent,0,0
10,0,1,0,0,0,0,0,0,0,0,3,SC,Donald Trump,Female,Republican,1,0.1
11,1,1,1,1,0,1,1,1,1,1,6,ID,Joe Biden,Male,Democrat,9,0.9
13,1,1,1,1,1,1,1,1,1,1,5,IA,Joe Biden,Female,Independent,10,1
15,1,0,0,1,1,1,1,1,0,1,6,SD,Donald Trump,Male,Independent,7,0.7
16,1,0,1,1,0,1,1,1,0,1,6,TN,Donald Trump,Female,Independent,7,0.7
17,0,0,1,1,0,0,1,1,0,0,4,FL,Donald Trump,Female,Independent,4,0.4
18,1,1,1,1,1,1,1,1,1,1,6,CA,Joe Biden,Male,Independent,10,1
19,1,1,1,1,1,1,1,1,1,1,7,SC,Joe Biden,Male,Independent,10,1
21,0,0,0,0,0,0,1,1,0,0,1,SC,Donald Trump,Female,Republican,2,0.2
22,1,1,1,1,1,1,1,1,1,1,7,CT,Joe Biden,Female,Democrat,10,1
24,1,0,1,1,1,1,1,1,1,1,5,CA,Joe Biden,Male,Independent,9,0.9
25,1,1,1,1,1,1,1,1,1,1,7,WA,Joe Biden,Female,Independent,10,1
28,0,0,1,0,0,1,1,0,0,0,3,KY,Donald Trump,Male,Republican,3,0.3
29,1,1,0,0,1,0,1,1,1,0,6,TX,Joe Biden,Female,Democrat,6,0.6
31,1,0,0,1,1,1,1,1,0,1,6,FL,Donald Trump,Female,Republican,7,0.7
32,1,1,1,1,1,1,1,1,1,1,3,WY,Joe Biden,Female,Independent,10,1
33,1,1,1,1,1,1,1,1,1,1,6,SC,Joe Biden,Female,Democrat,10,1
34,1,1,1,1,1,1,1,1,1,1,7,WA,Donald Trump,Male,Republican,10,1
35,1,0,0,0,0,1,1,1,0,0,6,NH,Donald Trump,Male,Independent,4,0.4
38,1,0,1,0,1,1,1,1,0,1,5,NY,Donald Trump,Male,Republican,7,0.7
41,1,1,1,1,1,1,1,1,1,1,3,NJ,Joe Biden,Female,Democrat,10,1
42,0,0,0,1,0,1,1,1,0,0,6,NY,Donald Trump,Male,Independent,4,0.4
43,1,0,0,0,0,1,1,0,0,0,4,FL,Donald Trump,Male,Republican,3,0.3
44,1,1,0,1,1,1,1,1,1,1,3,NC,Joe Biden,Female,Independent,9,0.9
46,0,0,0,0,0,1,1,1,0,0,4,AZ,Donald Trump,Female,Republican,3,0.3
47,1,1,1,0,1,0,1,1,1,1,3,ND,Joe Biden,Female,Democrat,8,0.8
48,1,0,0,1,0,1,1,0,0,1,6,FL,Joe Biden,Female,Independent,5,0.5
49,1,0,0,0,0,1,1,1,0,1,7,NY,Donald Trump,Female,Republican,5,0.5
50,0,1,1,1,1,1,1,1,1,1,4,NY,Joe Biden,Female,Democrat,9,0.9
52,1,1,1,1,1,1,1,1,1,1,4,NY,Joe Biden,Female,Independent,10,1
54,1,1,1,1,1,1,1,1,1,1,3,PA,Joe Biden,Male,Republican,10,1
57,1,1,0,1,0,1,1,1,0,0,6,PA,Donald Trump,Female,Republican,6,0.6
58,1,1,1,1,1,1,1,1,1,1,7,IL,Joe Biden,Male,Independent,10,1
59,1,1,1,1,1,1,1,1,1,1,6,GA,Joe Biden,Male,Independent,10,1
60,0,1,0,1,1,0,1,1,1,0,7,TX,Joe Biden,Male,Democrat,6,0.6
61,1,1,1,1,1,1,1,1,1,1,7,NC,Joe Biden,Female,Democrat,10,1
